tamanho_medio,imagem
19.722441048627633,Imagem_1
30.77808020788433,Imagem_1
96.96841773417351,Imagem_1
62.678390337343096,Imagem_1
155.46878431852474,Imagem_1
156.87311407835705,Imagem_1
39.05968874016931,Imagem_1
72.6973110940802,Imagem_1
106.52431240128215,Imagem_1
7.735777827895049,Imagem_1
89.48231773346762,Imagem_1
144.15347480978878,Imagem_1
48.61206223797199,Imagem_1
281.7656772609157,Imagem_1
253.64322253147367,Imagem_1
33.119418288812724,Imagem_1
31.260379885475437,Imagem_1
174.820494828411,Imagem_1
89.09016226269217,Imagem_1
163.2887859474288,Imagem_1
30.124765318753724,Imagem_1
196.7703685406518,Imagem_1
162.0020065179859,Imagem_1
110.88155551690694,Imagem_1
75.71920278200528,Imagem_1
186.06541363458075,Imagem_1
162.12476322766526,Imagem_1
118.48921533164297,Imagem_1
47.57627140343109,Imagem_1
43.29580718425681,Imagem_1
